tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_common,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borough,cncldist,st_assem,st_senate,nta,nta_name,latitude,longitude
87904,219607,2015-07-22,9,0,OnCurb,alive,fair,pin oak,Yes,No,No,No,No,No,No,No,Yes,147 PIERREPONT STREET,11201,Brooklyn,302,brooklyn,33,52,25,BK09,Brooklyn Heights-Cobble Hill,40.6948555,-73.99162653
575688,402322,2016-06-06,3,0,OnCurb,alive,good,two-winged silverbell,No,No,No,No,No,No,No,No,No,12 SAGE COURT,10302,Staten Island,501,staten island,49,61,23,SI28,Port Richmond,40.63023705,-74.14391507
395424,500738,2015-10-29,14,0,OnCurb,alive,good,ash,No,No,No,No,No,No,No,No,No,708 EAGLE AVENUE,10455,Bronx,201,bronx,17,79,32,BX34,Melrose South-Mott Haven North,40.81856537,-73.90986005
569774,343287,2016-05-30,5,0,OnCurb,alive,good,littleleaf linden,No,No,No,No,No,No,Yes,No,No,42-016 80 STREET,11373,Elmhurst,404,queens,25,39,12,QN29,Elmhurst,40.74315195,-73.88495804
685987,229534,2016-08-29,0,27,OnCurb,stump,unknown,unknown,No,No,No,No,No,No,No,No,No,1549 EAST 23 STREET,11210,Brooklyn,314,brooklyn,48,41,17,BK43,Midwood,40.61269507,-73.9509162
598121,315571,2016-06-22,24,0,OnCurb,alive,good,callery pear,No,No,No,No,No,No,No,No,No,150-006 12 ROAD,11357,Whitestone,407,queens,19,26,11,QN49,Whitestone,40.78982591,-73.81375313
425533,402681,2015-11-04,19,0,OnCurb,alive,fair,london planetree,No,No,No,No,No,No,No,No,Yes,42 AUSTIN PLACE,10304,Staten Island,501,staten island,49,61,23,SI08,Grymes Hill-Clifton-Fox Hills,40.63117448,-74.08577632
657240,212030,2016-08-07,2,0,OnCurb,alive,good,honeylocust,No,No,No,No,No,No,No,No,No,2183 EAST 36 STREET,11234,Brooklyn,318,brooklyn,46,59,22,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,40.60665575,-73.92756123
26857,203343,2015-06-19,2,0,OnCurb,alive,fair,dawn redwood,No,No,No,No,No,No,No,No,Yes,102 95 STREET,11209,Brooklyn,310,brooklyn,43,46,22,BK31,Bay Ridge,40.61666177,-74.03775423
510238,406686,2015-12-10,1,0,OnCurb,alive,good,cherry,No,No,No,No,No,Yes,No,No,No,29 FELDMEYERS LANE,10314,Staten Island,502,staten island,50,63,24,SI05,New Springville-Bloomfield-Travis,40.58766577,-74.19364468
347168,508415,2015-10-19,12,0,OnCurb,alive,good,littleleaf linden,No,No,No,No,No,No,No,No,No,1265 FTELEY AVENUE,10472,Bronx,209,bronx,18,87,32,BX08,West Farms-Bronx River,40.83149269,-73.87214285
632917,323573,2016-07-19,27,0,OnCurb,alive,good,northern red oak,Yes,No,No,No,No,No,No,No,No,71-005 242 STREET,11362,Little Neck,411,queens,23,25,11,QN45,Douglas Manor-Douglaston-Little Neck,40.7490833,-73.73624639
545121,502010,2016-01-22,4,0,OnCurb,alive,fair,honeylocust,No,No,No,No,No,No,No,No,No,905 EAGLE AVENUE,10456,Bronx,203,bronx,17,79,32,BX35,Morrisania-Melrose,40.82290446,-73.90806146
262779,411557,2015-09-27,30,0,OnCurb,alive,good,pin oak,Yes,No,No,No,No,No,No,No,No,215 KING STREET,10312,Staten Island,503,staten island,51,64,24,SI54,Great Kills,40.53837008,-74.1526902
268180,227571,2015-09-29,15,0,OnCurb,alive,good,littleleaf linden,Yes,No,No,No,No,No,No,No,No,1357 OCEAN PARKWAY,11230,Brooklyn,312,brooklyn,44,48,22,BK46,Ocean Parkway South,40.61561064,-73.96851569
235598,228488,2015-09-18,5,0,OnCurb,alive,good,dawn redwood,No,No,No,No,No,No,No,No,No,107 AVENUE F,11218,Brooklyn,312,brooklyn,39,44,17,BK88,Borough Park,40.63325757,-73.97720115
354934,225725,2015-10-20,4,0,OnCurb,dead,unknown,unknown,No,No,No,No,No,No,No,No,No,125 16 STREET,11215,Brooklyn,307,brooklyn,39,51,20,BK37,Park Slope-Gowanus,40.66622579,-73.992557
154008,230713,2015-08-17,7,0,OnCurb,alive,good,cucumber magnolia,No,No,No,No,No,No,No,No,No,246 RUGBY ROAD,11226,Brooklyn,314,brooklyn,40,44,17,BK42,Flatbush,40.64355085,-73.96587902
585855,331190,2016-06-14,11,0,OnCurb,alive,good,japanese zelkova,Yes,No,No,No,No,No,Yes,No,No,141-039 247 STREET,11422,Rosedale,413,queens,31,29,10,QN05,Rosedale,40.66225028,-73.7368339
597571,315362,2016-06-22,12,0,OnCurb,alive,good,maple,No,No,No,No,No,No,No,No,No,164-020 CRYDERS LANE,11357,Whitestone,407,queens,19,26,11,QN49,Whitestone,40.78852275,-73.79770908
399175,228667,2015-10-29,11,0,OnCurb,alive,fair,bald cypress,No,No,No,No,No,No,No,No,No,539 EAST 8 STREET,11218,Brooklyn,312,brooklyn,40,44,17,BK41,Kensington-Ocean Parkway,40.63684161,-73.9703098
531717,413292,2015-12-22,5,0,OnCurb,alive,good,maple,No,No,No,No,No,No,No,No,No,140 GETZ AVENUE,10312,Staten Island,503,staten island,51,62,24,SI54,Great Kills,40.55665661,-74.1661679
377712,512116,2015-10-26,21,0,OnCurb,alive,good,london planetree,No,No,No,No,No,No,No,No,No,2130 BOGART AVENUE,10462,Bronx,211,bronx,13,80,34,BX49,Pelham Parkway,40.85530194,-73.86095901
383468,502698,2015-10-27,9,0,OnCurb,alive,good,american elm,Yes,No,No,No,No,No,No,No,No,1699 FULTON AVENUE,10457,Bronx,203,bronx,15,79,33,BX01,Claremont-Bathgate,40.8408849,-73.8987708
241516,107866,2015-09-20,17,0,OnCurb,alive,good,sophora,No,No,No,No,No,No,No,No,No,150 EAST 83 STREET,10028,New York,108,manhattan,5,73,28,MN40,Upper East Side-Carnegie Hill,40.77728965,-73.95655062
